,brand,sku,listingPartNum,match,asin,salesRankId,salesRank,boxV,cost,isBBW,marketPrice,fees,netProfit,margin
142,Master Lock,141DLF,141DLF,True,B000EUHCHU,home_improvement_display_on_website,1260,11.4 inches,5.66,True,6.7,5.1,-4.06,-60.6
143,Master Lock,141QLF,141QLF,True,B002D4VZUU,home_improvement_display_on_website,1260,33.76 inches,17.32,True,25.98,9.44,-0.78,-3.0
144,Master Lock,141T,141T,True,B00004Y8D5,home_improvement_display_on_website,1557,16.32 inches,8.42,True,15.82,7.75,-0.35,-2.21
145,Master Lock,141THC,1175DLH,False,B0050BS01A,home_improvement_display_on_website,298369,24.58 inches,8.11,True,32.43,10.91,13.41,41.35
146,Master Lock,141TRILF,141TRILF,True,B07TVL5DBC,home_improvement_display_on_website,690119,79.78 inches,12.93,False,13.99,7.64,-6.58,-47.03
147,Master Lock,142DCM,142DCM,True,B00004Y8C7,home_improvement_display_on_website,20023,10.53 inches,4.6,True,7.16,4.52,-1.96,-27.37
148,Master Lock,1457E410KA,1457E410KA,True,B000CDBGOY,biss_display_on_website,54288,1209.14 inches,99.29,True,116.27,32.53,-15.55,-13.37
149,Master Lock,1457E410KABAS,A1305KABRN 27676,False,B086SYDS52,No Rank,No Rank,,91.94,True,29.59,no offers,no offers,no offers
150,Master Lock,1457E410KAFRC,6231NKA-4,False,B004MJK6JU,home_improvement_display_on_website,99301,157.01 inches,99.29,True,114.78,26.85,-11.36,-9.9
151,Master Lock,1457E410KAPRE,1393560,False,B00E5YS1SA,biss_display_on_website,1309014,,148.52,True,132.65,26.76,-42.63,-32.14
152,Master Lock,1457V3KA,37KA,False,B001QK1X5O,home_improvement_display_on_website,71807,11.15 inches,139.04,True,16.47,8.01,-130.58,-792.84
153,Master Lock,1457V410KA,1457VE410KA,False,B0010EED6C,biss_display_on_website,466419,1700.0 inches,156.49,True,260.04,55.78,47.77,18.37
154,Master Lock,1457VE410KA,1457VE410KA,True,B0010EED6C,biss_display_on_website,466419,1700.0 inches,165.97,True,260.04,55.78,38.29,14.72
155,Master Lock,1457VE410KABAS,A1305KABRN 27676,False,B086SYDS52,No Rank,No Rank,,110.8,True,29.59,no offers,no offers,no offers
156,Master Lock,1457VE410KAPRE,,Not Listed,B07N335KRZ,No Rank,No Rank,,209.82,False,no offers,no offers,no offers,no offers
157,Master Lock,1458E410PRE,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,202.28,True,24.22,11.23,-189.29,-781.54
158,Master Lock,1458V3,3D,False,B00004SQKO,home_improvement_display_on_website,5673,17.57 inches,183.6,True,9.18,5.69,-180.11,-1961.98
159,Master Lock,1458VE410PRE,312DLH,False,B0009V1WK2,home_improvement_display_on_website,24259,22.27 inches,271.11,True,17.35,8.14,-261.9,-1509.51
160,Master Lock,1465DAT,1465DATSC,False,B000COX0MY,automotive_display_on_website,6849,26.83 inches,6.33,True,12.69,7.06,-0.7,-5.52
161,Master Lock,1467DAT,1479DAT,False,B0008G1PLE,automotive_display_on_website,543408,44.05 inches,19.91,True,20.96,8.57,-7.52,-35.88
162,Master Lock,1469DAT,1469DAT,True,B001AVSIOI,automotive_display_on_website,9937,67.05 inches,15.58,True,20.97,8.57,-3.18,-15.16
163,Master Lock,1469TAT,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,28.19,False,no offers,no offers,no offers,no offers
164,Master Lock,146D,146D,True,B0029Z9T92,home_improvement_display_on_website,1557,11.21 inches,4.6,True,5.97,4.99,-3.62,-60.64
165,Master Lock,1471DAT,1471DAT,True,B0000AZ7WJ,automotive_display_on_website,23801,53.72 inches,10.42,True,15.99,7.97,-2.4,-15.01
166,Master Lock,1479DAT,1479DAT,True,B0008G1PLE,automotive_display_on_website,543408,44.05 inches,10.97,True,20.96,8.57,1.42,6.77
167,Master Lock,1479TAT,1479TAT,True,B071CFF6FV,automotive_display_on_website,18555,98.72 inches,19.84,True,19.99,9.39,-9.24,-46.22
168,Master Lock,1480DAT,1480DAT,True,B0000AXY62,home_improvement_display_on_website,90710,52.8 inches,14.42,True,15.61,8.57,-7.38,-47.28
169,Master Lock,1480KA,1480KA,True,B001QX2HXI,No Rank,No Rank,21.5 inches,15.08,True,41.13,10.99,15.06,36.62
170,Master Lock,1481DAT,1481DAT,True,B009MDAUQ0,biss_display_on_website,637523,64.0 inches,20.03,False,36.99,11.14,5.82,15.73
171,Master Lock,1482B,1482B,True,B00208OEHK,home_improvement_display_on_website,160780,759.0 inches,50.0,True,64.74,23.54,-8.8,-13.59
172,Master Lock,1482BP1106,1482BP1106,True,B0045Y0M5A,home_improvement_display_on_website,160780,810.0 inches,106.69,True,106.3,29.78,-30.17,-28.38
173,Master Lock,1482BP1106ES,1482BP1106ES,True,B0045Y0M6E,home_improvement_display_on_website,246927,507.23 inches,110.8,True,131.72,30.67,-9.75,-7.4
174,Master Lock,1482BP1106FRC,1482BP1106FRC,True,B0045Y0M7I,No Rank,No Rank,586.22 inches,110.8,True,131.61,29.05,-8.24,-6.26
175,Master Lock,1482BP410,1482BP410,True,B00208L26Q,home_improvement_display_on_website,160780,836.53 inches,103.36,True,96.8,28.35,-34.91,-36.06
176,Master Lock,1482BP410ES,1482BP410ES,True,B0045Y0MBO,home_improvement_display_on_website,246927,509.08 inches,107.41,True,156.02,32.71,15.9,10.19
177,Master Lock,1482BP410FRC,1KALJ 2126,False,B000HE7UOI,home_improvement_display_on_website,544464,18.75 inches,107.41,True,18.65,8.18,-96.94,-519.79
178,Master Lock,1483B,1483B,True,B00208OENY,biss_display_on_website,118579,866.5 inches,72.87,True,147.91,36.44,38.6,26.1
179,Master Lock,1483BP1106,1483BP1106,True,B0045Y0MFA,biss_display_on_website,118579,1331.52 inches,198.43,True,248.57,45.76,4.38,1.76
180,Master Lock,1483BP1106ES,130D,False,B00004SQL6,home_improvement_display_on_website,417582,5.45 inches,208.65,True,9.6,4.890000000000001,-203.94,-2124.38
181,Master Lock,1483BP1106FRC,1483BP1106FRC,True,B0045Y0MGY,No Rank,No Rank,888.72 inches,208.65,False,240.0,44.31,-12.96,-5.4
182,Master Lock,1483BP410,1483BP410,True,B00206J7HE,biss_display_on_website,118579,1326.0 inches,190.11,True,293.94,59.6,44.23,15.05
183,Master Lock,1483BP410ES,1483BP410ES,True,B0045Y0MLO,No Rank,No Rank,833.98 inches,200.19,True,336.99,66.06,70.74,20.99
184,Master Lock,1483BP410FRC,1KALJ 2126,False,B000HE7UOI,home_improvement_display_on_website,544464,18.75 inches,200.19,True,18.65,8.18,-189.72,-1017.27
185,Master Lock,1484B,1484B,True,B00206FTZS,home_improvement_display_on_website,351752,1875.0 inches,97.15,True,136.7,37.7,1.85,1.35
186,Master Lock,1484BP1106,1484BP1106,True,B07V42SSYF,No Rank,No Rank,,359.74,True,523.0,no offers,no offers,no offers
187,Master Lock,1484BP1106ES,575DPF,False,B000EUJHKA,home_improvement_display_on_website,334953,14.12 inches,363.49,True,14.53,7.72,-356.68,-2454.78
188,Master Lock,1484BP1106FRC,1KALJ 2126,False,B000HE7UOI,home_improvement_display_on_website,544464,18.75 inches,363.49,True,18.65,8.18,-353.02,-1892.87
189,Master Lock,1484BP410,1484BP410,True,B0010E71MU,home_improvement_display_on_website,351752,1837.5 inches,367.59,True,324.69,66.31,-109.21,-33.64
190,Master Lock,1484BP410ES,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,377.86,True,24.22,11.23,-364.87,-1506.48
191,Master Lock,1484BP410FRC,1484BP410FRC,True,B0045Y0MUK,No Rank,No Rank,1221.02 inches,371.39,True,452.88,71.54,9.95,2.2
